Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
PCB + stencil,all components are on this,1,12,https://jlcpcb.com,jlcpcb
ALL components,all components that are on pcb,1,20,https://lcsc.com,lcsc
,,Total cost,32,,
